listing_id,fit_init,variability_init,activity_init,reviews_pq,price_log,superhost,amenity_count,sentiment,entry_qtr,lifetime,censored,district,is_tourist,entry_q
4858902,0.49588685,0.0270889858523931,7.708487716876203,14.0,5.159055299214529,1,18.0,0.00507627293341575,2023Q2,9,1,Yau Tsim Mong,1,2023Q2
5158962,0.6491672225,0.043319105552013,7.708030088623557,15.25,5.159055299214529,1,14.0,0.004998832503113299,2023Q2,9,1,Yau Tsim Mong,1,2023Q2
5159313,0.636300585,0.0465068941906775,7.707274521986375,10.0,5.159055299214529,1,20.0,0.008310330291038474,2023Q3,8,1,Yau Tsim Mong,1,2023Q3
5215294,0.8504649375,0.1188191117085485,7.710822638932717,8.25,7.163946684342547,1,19.0,0.047209025896018574,2023Q2,9,1,Yau Tsim Mong,1,2023Q2
5254053,0.6454703900000001,0.1099558207403835,7.707302370814889,9.75,7.095064377287131,1,19.0,0.046286231213805325,2023Q3,8,1,Yau Tsim Mong,1,2023Q3
5992273,1.1133454666666667,0.1377657243599132,6.806264124159361,6.25,5.655991810819852,0,17.0,0.0325129517670876,2022Q4,6,0,Yau Tsim Mong,1,2022Q4
6046605,1.0401672133333333,0.1402720220181533,7.711827513143756,6.25,5.43372200355424,0,18.0,0.0392727568069565,2023Q2,9,1,Yau Tsim Mong,1,2023Q2
6098189,0.9604846,0.1260527520848308,7.417032015467747,7.0,7.009408932708637,1,23.0,0.049008838890644474,2023Q1,10,1,Yau Tsim Mong,1,2023Q1
6865393,1.0092276500000001,0.1541392631973302,7.706388695479181,18.0,7.198931240688173,1,51.0,0.03907079632291535,2023Q2,7,0,Yau Tsim Mong,1,2023Q2
7186750,1.06710438,0.3812015854471806,7.418293691562758,4.25,,1,30.0,0.04238806829352,2023Q1,9,0,Yau Tsim Mong,1,2023Q1
7186978,0.948563045,0.1125462504855084,7.709690754234348,10.75,,0,16.0,0.029474100469021353,2023Q2,9,1,Yau Tsim Mong,1,2023Q2
7265155,0.98469975,0.4148151646480066,4.9079323299646855,6.75,5.996452088619021,0,47.0,0.06155000148902583,2023Q1,6,0,Central & Western,1,2023Q1
7375957,1.2973728075,0.2470718428975229,7.710813212154495,8.25,,1,25.0,0.044895017261793076,2023Q2,5,0,Yau Tsim Mong,1,2023Q2
7391438,1.1796355,0.2104567240994177,7.715554598885296,7.25,5.918893854273146,1,42.0,0.03063059217141485,2023Q4,7,1,Yau Tsim Mong,1,2023Q4
7701968,0.8766060025,0.2094710289951955,7.412138739606496,14.5,5.627621113690637,1,17.0,0.022598998177124997,2023Q1,10,1,Yau Tsim Mong,1,2023Q1
7743921,0.7390948533333334,0.2763751672462154,7.413835219631857,13.25,5.840641657373398,1,17.0,0.0129195096696804,2023Q1,5,0,Yau Tsim Mong,1,2023Q1
7766571,1.0322592800000001,0.1736729550810676,7.763834434881207,19.666666666666668,5.468060141135132,1,16.0,0.05697228384420627,2023Q3,3,0,Yau Tsim Mong,1,2023Q3
7931794,1.2069969666666667,0.2304554951622395,6.803402007145012,10.75,5.673323267171493,1,17.0,0.06571744909451205,2022Q4,6,0,Yau Tsim Mong,1,2022Q4
8541215,1.4026902749999999,0.2077860478366332,7.413424431408719,12.0,5.823045895483019,1,25.0,0.029054653892631174,2023Q1,5,0,Yau Tsim Mong,1,2023Q1
8597565,1.07072474,0.3103393365025482,7.710980115260142,8.0,5.940171252720432,1,26.0,0.037950699242124325,2023Q2,8,0,Yau Tsim Mong,1,2023Q2
8858198,0.5622722,0.1573840472110688,7.095033436501597,4.5,5.940171252720432,1,28.0,0.0278747144159785,2023Q1,2,0,Yau Tsim Mong,1,2023Q1
8858675,1.2040564,0.2051429282843682,7.709607820964601,4.5,5.942799375126701,1,26.0,0.038826967487494826,2023Q3,8,1,Yau Tsim Mong,1,2023Q3
8946730,1.1192914999999999,0.1407268340889024,7.41297592447169,11.25,5.855071922202427,1,16.0,0.029198890177338552,2023Q1,5,0,Yau Tsim Mong,1,2023Q1
9000447,0.7616715,0.2846042044727779,5.60947179518496,5.0,5.5909869805108565,1,21.0,0.0,2022Q3,1,0,Yau Tsim Mong,1,2022Q3
9148203,0.9506127350000001,0.1818893022419499,7.710521016966768,9.0,5.3471075307174685,0,10.0,0.030170077182532326,2023Q2,9,1,Yau Tsim Mong,1,2023Q2
